Time diff;Memory (KB);Thread id
33767648;7240;139881443542784
34364114;7352;139881435150080
35426187;6084;139881426757376
34467177;6528;139881426757376
32141468;6860;139881418364672
32564443;7088;139881443542784
32346562;7172;139881443542784
30795818;7240;139881418364672
33314459;7240;139881418364672
30386874;7240;139881443542784
33770835;7240;139881418364672
35502846;7352;139881435150080
35777533;6084;139881426757376
34623992;6528;139881443542784
32153007;6860;139881443542784
32703000;7088;139881426757376
32790700;7172;139881426757376
30870474;7240;139881435150080
33553247;7240;139881435150080
30502799;7240;139881418364672
34400830;7240;139881435150080
36173207;7352;139881418364672
36467695;6084;139881443542784
34630948;6528;139881435150080
32484214;6860;139881418364672
33436362;7088;139881435150080
33339453;7172;139881443542784
31148386;7240;139881418364672
33642536;7240;139881426757376
31515628;7240;139881418364672
34418296;7240;139881443542784
36890051;7352;139881435150080
36518717;6084;139881426757376
35190528;6528;139881443542784
33940215;6860;139881426757376
33480152;7088;139881443542784
33429540;7172;139881426757376
32194576;7240;139881443542784
34903472;7240;139881418364672
32441360;7240;139881443542784
34955608;7240;139881443542784
36898864;7352;139881426757376
36526654;6084;139881435150080
35964974;6680;139881443542784
34578150;6860;139881443542784
33821436;7088;139881443542784
34248706;7172;139881426757376
32586724;7240;139881443542784
35147348;7240;139881435150080
33069459;7240;139881435150080
35360679;7240;139881418364672
36933829;7352;139881443542784
36813204;6084;139881443542784
36882083;6680;139881426757376
34653445;6860;139881426757376
34661526;7088;139881418364672
34923413;7172;139881426757376
32600608;7240;139881418364672
35401740;7240;139881418364672
33276420;7240;139881426757376
35474311;7240;139881443542784
37246536;7352;139881418364672
37130237;6184;139881443542784
37453383;6680;139881435150080
34658477;6860;139881435150080
35034977;7088;139881418364672
35271518;7172;139881435150080
33158435;7240;139881418364672
36127432;7240;139881418364672
34447597;7240;139881426757376
36090254;7240;139881443542784
37794842;7352;139881435150080
37793867;6184;139881435150080
38049211;6680;139881418364672
35131249;6860;139881435150080
35836085;7088;139881418364672
35846518;7172;139881418364672
33662928;7240;139881435150080
36182380;7240;139881443542784
34781536;7240;139881435150080
36596278;7240;139881435150080
37800501;7352;139881443542784
37952132;6184;139881426757376
38543320;6680;139881435150080
35720433;6860;139881418364672
36099900;7088;139881426757376
35893685;7172;139881426757376
33714711;7240;139881443542784
36981218;7240;139881443542784
34794056;7240;139881426757376
36655348;7240;139881426757376
38244101;7352;139881426757376
38672837;6184;139881443542784
38749089;6680;139881418364672
35745232;6860;139881435150080
36712908;7088;139881426757376
36168773;7172;139881418364672
34314634;7240;139881426757376
37229565;7240;139881435150080
35245574;7240;139881418364672
36731030;7240;139881418364672
39607306;7352;139881443542784
39239426;6184;139881443542784
39952145;6680;139881426757376
35937388;6860;139881443542784
37097954;7088;139881426757376
37136729;7172;139881418364672
34377564;7240;139881443542784
38158373;7240;139881426757376
35803087;7240;139881443542784
37093997;7240;139881435150080
39681101;7352;139881435150080
39418346;6184;139881435150080
40227869;6680;139881435150080
36373407;6860;139881418364672
37294192;7088;139881435150080
37158440;7172;139881435150080
34534208;7240;139881418364672
38339148;7240;139881435150080
36006264;7240;139881418364672
37754135;7240;139881426757376
39923399;7352;139881426757376
39472827;6340;139881426757376
40490143;6680;139881443542784
37133690;6860;139881426757376
